n = 1500000 ,dist = 3.247402e-14 ,duration = 5.305756e+00 ,selected_d = 2.328014e-08
n = 1500000 ,dist = 3.247402e-14 ,duration = 4.818379e+00 ,selected_d = 1.227489e-07
n = 1500000 ,dist = 3.247402e-14 ,duration = 4.845273e+00 ,selected_d = 2.004733e-07
n = 1500000 ,dist = 3.247402e-14 ,duration = 4.870403e+00 ,selected_d = 2.044537e-07
n = 1500000 ,dist = 3.247402e-14 ,duration = 4.919571e+00 ,selected_d = 3.499375e-07
n = 1500000 ,dist = 3.247402e-14 ,duration = 5.475766e+00 ,selected_d = 1.313553e-07
n = 1500000 ,dist = 3.247402e-14 ,duration = 4.805326e+00 ,selected_d = 9.537700e-08
n = 1500000 ,dist = 3.247402e-14 ,duration = 5.178443e+00 ,selected_d = 7.263248e-07
n = 1500000 ,dist = 3.247402e-14 ,duration = 4.792959e+00 ,selected_d = 3.764410e-08
n = 1500000 ,dist = 3.247402e-14 ,duration = 5.367351e+00 ,selected_d = 3.764920e-07
n = 1500000 ,dist = 3.247402e-14 ,duration = 5.012074e+00 ,selected_d = 8.633878e-08
n = 1500000 ,dist = 3.247402e-14 ,duration = 4.876346e+00 ,selected_d = 7.307445e-08
n = 1500000 ,dist = 3.247402e-14 ,duration = 4.893898e+00 ,selected_d = 2.370344e-07
n = 1500000 ,dist = 3.247402e-14 ,duration = 4.737751e+00 ,selected_d = 5.551734e-09
n = 1500000 ,dist = 3.247402e-14 ,duration = 4.866137e+00 ,selected_d = 2.522639e-07
n = 1500000 ,dist = 3.247402e-14 ,duration = 5.135212e+00 ,selected_d = 1.298550e-07
n = 1500000 ,dist = 3.247402e-14 ,duration = 5.029718e+00 ,selected_d = 2.720989e-07
n = 1500000 ,dist = 3.247402e-14 ,duration = 4.927519e+00 ,selected_d = 1.829442e-07
n = 1500000 ,dist = 3.247402e-14 ,duration = 5.023110e+00 ,selected_d = 1.786693e-08
n = 1500000 ,dist = 3.247402e-14 ,duration = 5.215904e+00 ,selected_d = 6.379474e-08
n = 1500000 ,dist = 3.247402e-14 ,duration = 4.962445e+00 ,selected_d = 5.525910e-08
n = 1500000 ,dist = 3.247402e-14 ,duration = 5.230964e+00 ,selected_d = 1.919283e-07
n = 1500000 ,dist = 3.247402e-14 ,duration = 5.179834e+00 ,selected_d = 4.889215e-08
n = 1500000 ,dist = 3.247402e-14 ,duration = 5.496532e+00 ,selected_d = 3.464802e-07
n = 1500000 ,dist = 3.247402e-14 ,duration = 4.976327e+00 ,selected_d = 1.462283e-07
n = 1500000 ,dist = 3.247402e-14 ,duration = 4.827911e+00 ,selected_d = 1.047547e-07
n = 1500000 ,dist = 3.247402e-14 ,duration = 4.735444e+00 ,selected_d = 1.105176e-07
n = 1500000 ,dist = 3.247402e-14 ,duration = 4.979789e+00 ,selected_d = 1.386929e-07
n = 1500000 ,dist = 3.247402e-14 ,duration = 4.840014e+00 ,selected_d = 1.494806e-07
n = 1500000 ,dist = 3.247402e-14 ,duration = 5.091963e+00 ,selected_d = 2.099669e-07
n = 1500000 ,dist = 3.247402e-14 ,duration = 5.487535e+00 ,selected_d = 7.203855e-08
n = 1500000 ,dist = 3.247402e-14 ,duration = 4.982981e+00 ,selected_d = 6.598356e-08
n = 1500000 ,dist = 3.247402e-14 ,duration = 4.808241e+00 ,selected_d = 8.982641e-08
n = 1500000 ,dist = 3.247402e-14 ,duration = 4.985220e+00 ,selected_d = 1.473920e-07
n = 1500000 ,dist = 3.247402e-14 ,duration = 4.687380e+00 ,selected_d = 2.030744e-07
n = 1500000 ,dist = 3.247402e-14 ,duration = 5.159076e+00 ,selected_d = 2.200176e-08
n = 1500000 ,dist = 3.247402e-14 ,duration = 4.858208e+00 ,selected_d = 3.472738e-07
n = 1500000 ,dist = 3.247402e-14 ,duration = 4.946142e+00 ,selected_d = 8.428420e-08
n = 1500000 ,dist = 3.247402e-14 ,duration = 5.315776e+00 ,selected_d = 6.818754e-07
n = 1500000 ,dist = 3.247402e-14 ,duration = 5.133678e+00 ,selected_d = 2.307979e-07
n = 1500000 ,dist = 3.247402e-14 ,duration = 5.020423e+00 ,selected_d = 9.312340e-08
n = 1500000 ,dist = 3.247402e-14 ,duration = 4.866616e+00 ,selected_d = 4.272480e-09
n = 1500000 ,dist = 3.247402e-14 ,duration = 5.265048e+00 ,selected_d = 1.122936e-06
n = 1500000 ,dist = 3.247402e-14 ,duration = 4.941413e+00 ,selected_d = 9.575773e-07
n = 1500000 ,dist = 3.247402e-14 ,duration = 4.944357e+00 ,selected_d = 7.196969e-08
n = 1500000 ,dist = 3.247402e-14 ,duration = 5.033647e+00 ,selected_d = 6.796695e-07
n = 1500000 ,dist = 3.247402e-14 ,duration = 5.071084e+00 ,selected_d = 1.501268e-07
n = 1500000 ,dist = 3.247402e-14 ,duration = 4.962987e+00 ,selected_d = 1.493614e-07
n = 1500000 ,dist = 3.247402e-14 ,duration = 4.946763e+00 ,selected_d = 4.429709e-07
n = 1500000 ,dist = 3.247402e-14 ,duration = 5.390581e+00 ,selected_d = 1.912043e-07
n = 1500000 ,dist = 3.247402e-14 ,duration = 4.852001e+00 ,selected_d = 5.648080e-07
n = 1500000 ,dist = 3.247402e-14 ,duration = 5.430770e+00 ,selected_d = 5.158957e-08
n = 1500000 ,dist = 3.247402e-14 ,duration = 4.863757e+00 ,selected_d = 2.824412e-07
