n = 1000000 ,dist = 2.913225e-13 ,duration = 2.779263e+00 ,selected_d = 2.725042e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 2.941855e+00 ,selected_d = 3.506651e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 2.422491e+00 ,selected_d = 9.943056e-09
n = 1000000 ,dist = 2.913225e-13 ,duration = 2.596462e+00 ,selected_d = 1.140520e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 2.764302e+00 ,selected_d = 7.738943e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 2.735139e+00 ,selected_d = 1.562529e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 2.387183e+00 ,selected_d = 5.426516e-08
n = 1000000 ,dist = 2.913225e-13 ,duration = 2.644429e+00 ,selected_d = 1.010728e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.234295e+00 ,selected_d = 4.979015e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 2.703727e+00 ,selected_d = 9.938012e-08
n = 1000000 ,dist = 2.913225e-13 ,duration = 2.818113e+00 ,selected_d = 1.458763e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 2.743804e+00 ,selected_d = 1.326475e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 2.544284e+00 ,selected_d = 1.380411e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 2.415285e+00 ,selected_d = 4.914189e-08
n = 1000000 ,dist = 2.913225e-13 ,duration = 2.726507e+00 ,selected_d = 1.941729e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 2.976957e+00 ,selected_d = 5.415497e-08
n = 1000000 ,dist = 2.913225e-13 ,duration = 2.566001e+00 ,selected_d = 3.934787e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 2.630440e+00 ,selected_d = 1.639813e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 2.708215e+00 ,selected_d = 2.806165e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.151715e+00 ,selected_d = 1.286899e-06
n = 1000000 ,dist = 2.913225e-13 ,duration = 2.603413e+00 ,selected_d = 1.975063e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 2.718217e+00 ,selected_d = 3.349286e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.032511e+00 ,selected_d = 6.013507e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 2.780144e+00 ,selected_d = 1.489792e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 2.636185e+00 ,selected_d = 1.628089e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 2.549132e+00 ,selected_d = 1.598625e-08
n = 1000000 ,dist = 2.913225e-13 ,duration = 8.314246e+00 ,selected_d = 1.059306e-06
n = 1000000 ,dist = 2.913225e-13 ,duration = 2.774783e+00 ,selected_d = 2.800055e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 2.562022e+00 ,selected_d = 1.217377e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 2.685376e+00 ,selected_d = 1.452059e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 2.736733e+00 ,selected_d = 3.710661e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 9.685397e+00 ,selected_d = 4.496346e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.060189e+00 ,selected_d = 1.012763e-06
