n = 1000000 ,dist = 2.913225e-13 ,duration = 4.267498e+00 ,selected_d = 2.574726e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.499049e+00 ,selected_d = 3.731026e-08
n = 1000000 ,dist = 2.913225e-13 ,duration = 4.155795e+00 ,selected_d = 1.130453e-06
n = 1000000 ,dist = 2.913225e-13 ,duration = 4.321226e+00 ,selected_d = 1.338222e-06
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.623308e+00 ,selected_d = 1.643822e-08
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.637388e+00 ,selected_d = 1.526413e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.731165e+00 ,selected_d = 1.433052e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.683223e+00 ,selected_d = 2.552164e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.427976e+00 ,selected_d = 4.641917e-08
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.645666e+00 ,selected_d = 2.158673e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 6.732744e+00 ,selected_d = 2.634993e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 5.866357e+00 ,selected_d = 1.402123e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 5.515053e+00 ,selected_d = 2.166100e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 5.417662e+00 ,selected_d = 2.255885e-08
n = 1500000 ,dist = 9.094947e-13 ,duration = 5.383593e+00 ,selected_d = 1.502948e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 5.632889e+00 ,selected_d = 4.127642e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 5.036268e+00 ,selected_d = 1.053816e-08
n = 1500000 ,dist = 9.094947e-13 ,duration = 5.476883e+00 ,selected_d = 1.241185e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 5.359429e+00 ,selected_d = 5.525174e-09
n = 1500000 ,dist = 9.094947e-13 ,duration = 5.362819e+00 ,selected_d = 2.634511e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 5.680997e+00 ,selected_d = 3.227115e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 5.312684e+00 ,selected_d = 2.707287e-08
n = 1500000 ,dist = 9.094947e-13 ,duration = 5.877678e+00 ,selected_d = 4.700472e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 6.497326e+00 ,selected_d = 4.988365e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 6.638981e+00 ,selected_d = 1.013110e-06
n = 1500000 ,dist = 9.094947e-13 ,duration = 5.563925e+00 ,selected_d = 7.699035e-08
n = 1500000 ,dist = 9.094947e-13 ,duration = 5.975936e+00 ,selected_d = 3.590134e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 5.738298e+00 ,selected_d = 3.515800e-08
n = 1500000 ,dist = 9.094947e-13 ,duration = 5.968822e+00 ,selected_d = 2.281921e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 6.045776e+00 ,selected_d = 4.074042e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 5.709770e+00 ,selected_d = 2.659257e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 5.560932e+00 ,selected_d = 1.214584e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 5.813529e+00 ,selected_d = 1.450881e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 5.716225e+00 ,selected_d = 2.365161e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 5.192605e+00 ,selected_d = 2.704245e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 5.529857e+00 ,selected_d = 4.650393e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 5.263129e+00 ,selected_d = 8.623807e-08
n = 1500000 ,dist = 9.094947e-13 ,duration = 5.303502e+00 ,selected_d = 1.302365e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 5.798923e+00 ,selected_d = 4.180400e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 5.913161e+00 ,selected_d = 4.864052e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 6.398338e+00 ,selected_d = 6.669952e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 5.906160e+00 ,selected_d = 7.610801e-08
n = 1500000 ,dist = 9.094947e-13 ,duration = 5.564783e+00 ,selected_d = 6.656103e-08
n = 1500000 ,dist = 9.094947e-13 ,duration = 5.591439e+00 ,selected_d = 1.229991e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 5.369812e+00 ,selected_d = 6.255435e-08
n = 1500000 ,dist = 9.094947e-13 ,duration = 6.171250e+00 ,selected_d = 3.220476e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 5.621702e+00 ,selected_d = 2.852334e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 5.268064e+00 ,selected_d = 4.143330e-08
n = 1500000 ,dist = 9.094947e-13 ,duration = 5.326925e+00 ,selected_d = 3.542721e-08
n = 1500000 ,dist = 9.094947e-13 ,duration = 5.989891e+00 ,selected_d = 4.851918e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 5.476298e+00 ,selected_d = 3.206292e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 5.662591e+00 ,selected_d = 6.511584e-08
n = 1500000 ,dist = 9.094947e-13 ,duration = 6.023625e+00 ,selected_d = 5.230871e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 5.803981e+00 ,selected_d = 1.591327e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 6.485960e+00 ,selected_d = 5.057045e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 5.276637e+00 ,selected_d = 2.497615e-08
n = 1500000 ,dist = 9.094947e-13 ,duration = 6.509037e+00 ,selected_d = 4.155358e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 5.952239e+00 ,selected_d = 1.507008e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 5.749978e+00 ,selected_d = 7.789120e-08
n = 1500000 ,dist = 9.094947e-13 ,duration = 5.802872e+00 ,selected_d = 2.900010e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 5.378548e+00 ,selected_d = 1.296447e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 5.951324e+00 ,selected_d = 2.417542e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 6.236262e+00 ,selected_d = 2.913344e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 5.692568e+00 ,selected_d = 2.458365e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 5.653883e+00 ,selected_d = 1.426770e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 6.360440e+00 ,selected_d = 3.994130e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 5.809850e+00 ,selected_d = 1.087398e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 6.334894e+00 ,selected_d = 1.931977e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 6.485138e+00 ,selected_d = 2.619980e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 5.723861e+00 ,selected_d = 5.640826e-08
n = 1500000 ,dist = 9.094947e-13 ,duration = 6.351316e+00 ,selected_d = 2.109365e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 5.628141e+00 ,selected_d = 7.300450e-08
n = 1500000 ,dist = 9.094947e-13 ,duration = 5.854439e+00 ,selected_d = 3.585816e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 5.102694e+00 ,selected_d = 3.465521e-08
n = 1500000 ,dist = 9.094947e-13 ,duration = 5.542686e+00 ,selected_d = 2.714248e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 6.170552e+00 ,selected_d = 4.597739e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 5.180033e+00 ,selected_d = 9.282448e-08
n = 1500000 ,dist = 9.094947e-13 ,duration = 6.073731e+00 ,selected_d = 3.402590e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 5.145550e+00 ,selected_d = 1.273771e-07
